Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Training Stress Score®,Grit,Flow,Avg. Swolf,Avg Stroke Rate,Total Reps,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,7/29/2024 17:08,FALSE,Douglas County Running,2.43,216,0:20:01,133,154,165,174,8:15,7:20,104,114,1.18,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,No,03:23.1,3,NaN,0:17:43,0:20:12,"5,830","5,921"
Running,7/29/2024 6:38,FALSE,Douglas County Running,8.06,756,1:00:01,153,178,168,223,7:27,5:20,592,602,1.28,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,No,00:23.0,9,NaN,0:59:52,1:00:09,"5,855","6,271"
Running,7/27/2024 7:35,FALSE,Centennial Running,20.03,"1,786",2:15:55,159,190,171,179,6:47,6:01,49,56,1.39,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,No,00:13.4,21,NaN,2:15:49,2:18:36,"5,476","5,512"
Running,7/26/2024 8:38,FALSE,Douglas County Running,7.87,740,1:00:01,154,179,167,185,7:38,5:14,441,446,1.27,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,No,06:25.8,8,NaN,0:59:51,1:01:54,"5,805","6,001"
Running,7/25/2024 14:26,FALSE,Douglas County Running,1.15,121,0:10:00,162,172,158,168,8:41,8:21,21,14,1.17,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,No,01:20.6,2,NaN,0:09:49,0:10:37,"5,855","5,872"
Running,7/25/2024 13:42,FALSE,Douglas County Running,3.84,288,0:22:47,151,186,171,199,5:56,4:25,47,58,1.58,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,No,04:26.7,4,NaN,0:22:26,0:34:36,"5,845","5,861"
Running,7/25/2024 13:28,FALSE,Douglas County Running,1.32,124,0:10:01,146,165,165,207,7:36,3:48,11,15,1.29,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,No,02:25.6,2,NaN,0:10:01,0:10:01,"5,846","5,861"
Running,7/24/2024 20:01,FALSE,Douglas County Running,2.41,218,0:20:00,136,159,164,174,8:18,7:18,143,151,1.18,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,No,03:14.6,3,NaN,0:20:00,0:20:00,"5,880","5,990"
Running,7/24/2024 7:33,FALSE,Douglas County Running,8.74,831,1:05:01,152,180,168,216,7:26,4:08,490,484,1.29,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,No,05:16.1,9,NaN,1:04:58,1:15:38,"5,911","6,096"
Running,7/23/2024 7:53,FALSE,Parker Running,12,"1,100",1:18:48,157,177,171,185,6:34,5:15,156,152,1.43,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,No,00:01.1,13,NaN,1:18:37,1:22:50,"5,772","5,906"
Running,7/22/2024 20:35,FALSE,Douglas County Running,2.3,204,0:20:01,124,143,163,171,8:41,7:42,87,94,1.14,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,No,02:37.5,3,NaN,0:20:00,0:20:01,"5,828","5,909"
Running,7/22/2024 8:23,FALSE,Douglas County Running,7.23,688,0:52:14,160,185,169,182,7:13,6:35,379,384,1.32,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,No,01:33.7,8,NaN,0:52:11,0:52:17,"6,237","6,583"
Running,7/20/2024 7:26,FALSE,Jefferson County Running,18,"1,583",2:01:03,164,186,171,185,6:43,5:52,688,692,1.4,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,No,00:01.0,19,NaN,2:00:44,2:10:02,"5,505","5,835"
Running,7/19/2024 8:36,FALSE,Douglas County Running,6.5,600,0:45:49,165,185,168,178,7:03,6:13,118,128,1.35,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,No,03:14.6,7,NaN,0:45:31,0:46:57,"5,502","5,550"
Running,7/18/2024 9:56,FALSE,Douglas County Running,0.53,50,05:01.4,144,153,159,168,9:30,8:59,62,65,1.07,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,No,05:01.4,1,NaN,05:01.4,05:01.4,"6,050","6,088"
Running,7/18/2024 8:49,FALSE,Douglas County Running,7.15,588,0:47:41,152,182,169,197,6:40,4:43,6,8,1.43,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,No,00:43.8,8,NaN,0:46:29,1:01:32,"6,085","6,096"
Running,7/18/2024 8:31,FALSE,Douglas County Running,1.23,121,0:10:01,153,167,165,185,8:08,5:19,92,84,1.2,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,No,01:49.6,2,NaN,0:10:01,0:10:01,"6,044","6,100"
