Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Training Stress Score®,Grit,Flow,Avg. Swolf,Avg Stroke Rate,Total Reps,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2024-07-29 18:12:23,false,"Winston-Salem Running","5.00","546","00:49:00","153","171","177","197","9:48","8:32","268","280","0.93","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","No","00:00:03.8","6","NaN","00:48:59","00:49:06","742","971"
Cardio,2024-07-29 17:04:53,false,"Cardio","0.00","237","00:42:15","110","141","--","--","--","--","--","--","NaN","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","No","00:42:15","1","NaN","00:00:00","00:42:15","--","--"
Cardio,2024-07-28 15:13:59,false,"Cardio","0.00","62","00:15:03","93","120","--","--","--","--","--","--","NaN","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","No","00:15:03","1","NaN","00:00:00","00:15:03","741","741"
Cardio,2024-07-28 14:43:12,false,"Cardio","0.00","28","00:07:07.7","91","113","--","--","--","--","--","--","NaN","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","No","00:07:07.7","1","NaN","00:00:00","00:07:07.7","741","741"
Running,2024-07-28 13:23:35,false,"Winston-Salem Running","5.01","490","00:41:37","161","180","180","194","8:19","7:34","142","139","1.07","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","No","00:03:18.0","6","NaN","00:41:24","00:47:06","722","778"
Running,2024-07-27 06:39:18,false,"Winston-Salem Running","12.01","1,262","01:51:32","159","174","178","188","9:17","7:37","610","619","0.97","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","No","00:00:06.0","13","NaN","01:51:10","02:25:25","742","957"
Running,2024-07-25 17:27:04,false,"Winston-Salem Running","5.07","533","00:44:55","160","187","177","188","8:51","7:26","286","274","1.02","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","No","00:00:42.0","6","NaN","00:44:38","01:06:29","751","955"
Cardio,2024-07-25 08:12:56,false,"Cardio","0.00","56","00:20:50","79","112","--","--","--","--","--","--","NaN","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","No","00:20:50","1","NaN","00:00:00","00:20:50","--","--"
Cardio,2024-07-24 07:52:19,false,"Cardio","0.00","239","00:42:18","110","138","--","--","--","--","--","--","NaN","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","No","00:42:18","1","NaN","00:00:00","00:43:40","756","756"
Running,2024-07-24 06:01:59,false,"Winston-Salem Running","6.02","515","00:47:16","155","194","181","239","7:51","6:00","31","38","1.13","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","No","00:00:12.5","7","NaN","00:46:45","01:20:13","748","768"
Running,2024-07-22 18:17:00,false,"Winston-Salem Running","5.01","519","00:47:27","152","176","178","201","9:29","8:36","274","279","0.95","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","No","00:00:03.8","6","NaN","00:47:17","00:50:53","742","972"
